STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
         44;202408111740;    3;  -999;  -999;   0.167;-999;eor
         44;202408111750;    3;  -999;  -999;   0.167;-999;eor
         44;202408111800;    3;  -999;  -999;   0.167;-999;eor
         44;202408111810;    3;  -999;  -999;   0.167;-999;eor
         44;202408111820;    3;  -999;  -999;   0.167;-999;eor
         44;202408111830;    3;  -999;  -999;   0.100;-999;eor
         44;202408111840;    3;  -999;  -999;   0.000;-999;eor
         44;202408111850;    3;  -999;  -999;   0.000;-999;eor
         44;202408111900;    3;  -999;  -999;   0.000;-999;eor
         44;202408111910;    3;  -999;  -999;   0.000;-999;eor
         44;202408111920;    3;  -999;  -999;   0.000;-999;eor
         44;202408111930;    3;  -999;  -999;   0.000;-999;eor
         44;202408111940;    3;  -999;  -999;   0.000;-999;eor
         44;202408111950;    3;  -999;  -999;   0.000;-999;eor
         44;202408112000;    3;  -999;  -999;   0.000;-999;eor
         44;202408112010;    3;  -999;  -999;   0.000;-999;eor
         44;202408112020;    3;  -999;  -999;   0.000;-999;eor
         44;202408112030;    3;  -999;  -999;   0.000;-999;eor
         44;202408112040;    3;  -999;  -999;   0.000;-999;eor
         44;202408112050;    3;  -999;  -999;   0.000;-999;eor
         44;202408112100;    3;  -999;  -999;   0.000;-999;eor
         44;202408112110;    3;  -999;  -999;   0.000;-999;eor
         44;202408112120;    3;  -999;  -999;   0.000;-999;eor
         44;202408112130;    3;  -999;  -999;   0.000;-999;eor
         44;202408112140;    3;  -999;  -999;   0.000;-999;eor
         44;202408112150;    3;  -999;  -999;   0.000;-999;eor
         44;202408112200;    3;  -999;  -999;   0.000;-999;eor
         44;202408112210;    3;  -999;  -999;   0.000;-999;eor
         44;202408112220;    3;  -999;  -999;   0.000;-999;eor
         44;202408112230;    3;  -999;  -999;   0.000;-999;eor
         44;202408112240;    3;  -999;  -999;   0.000;-999;eor
         44;202408112250;    3;  -999;  -999;   0.000;-999;eor
         44;202408112300;    3;  -999;  -999;   0.000;-999;eor
         44;202408112310;    3;  -999;  -999;   0.000;-999;eor
         44;202408112320;    3;  -999;  -999;   0.000;-999;eor
         44;202408112330;    3;  -999;  -999;   0.000;-999;eor
         44;202408112340;    3;  -999;  -999;   0.000;-999;eor
         44;202408112350;    3;  -999;  -999;   0.000;-999;eor
         44;202408120000;    3;  -999;  -999;   0.000;-999;eor
         44;202408120010;    3;  -999;  -999;   0.000;-999;eor
